stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
59_02,,佐渡,,38.8004327,140.2260385,59_02,,0,
6_01,,旧中渡保育所前,,38.801826,140.1927059,6_01,,0,
6_02,,旧中渡保育所前,,38.8017742,140.1926007,6_02,,0,
60_01,,木の下入口,,38.8447454,140.2460477,60_01,,0,
60_02,,木の下入口,,38.8447229,140.2461436,60_02,,0,
61_01,,新町,,38.8505145,140.2492955,61_01,,0,
61_02,,新町,,38.8504915,140.2494089,61_02,,0,
62_01,,町立病院前,,38.8513136,140.2480557,62_01,,0,
63_01,,真室川役場口,,38.8574142,140.2508967,63_01,,0,
63_02,,真室川役場口,,38.8573749,140.2509953,63_02,,0,
64_01,,真室川役場前,,38.8576699,140.2521719,64_01,,0,
64_02,,真室川役場前,,38.8576296,140.2521364,64_02,,0,
65_01,,真室川駅前,,38.8583024,140.254502,65_01,,0,
66_01,,山の神入口,,38.8085364,140.23037,66_01,,0,
66_02,,山の神入口,,38.8085139,140.2305209,66_02,,0,
67_01,,さけまる住宅前,,38.8222963,140.238467,67_01,,0,
67_02,,さけまる住宅前,,38.822281,140.2385911,67_02,,0,
68_01,,東町,,38.8576216,140.2591356,68_01,,0,
68_02,,東町,,38.8575824,140.2590424,68_02,,0,
69_01,,東町２,,38.8563751,140.2614164,69_01,,0,
69_02,,東町２,,38.8563202,140.2613776,69_02,,0,
7_01,,中渡,,38.80085,140.19368,7_01,,0,
7_02,,中渡,,38.8008228,140.1937625,7_02,,0,
70_01,,町民体育館,,38.8536067,140.2659739,70_01,,0,
8_01,,段ノ下,,38.8057034,140.1979483,8_01,,0,
8_02,,段ノ下,,38.8056477,140.197942,8_02,,0,
9_01,,新渕,,38.8041525,140.2020686,9_01,,0,
9_02,,新渕,,38.8040913,140.202021,9_02,,0,
